booking_date_id,adults,children,babies
BD1,2,0.0,0
BD2,2,0.0,0
BD3,1,0.0,0
BD4,1,0.0,0
BD5,2,0.0,0
BD6,2,0.0,0
BD7,2,0.0,0
BD8,2,0.0,0
BD9,2,0.0,0
BD10,2,0.0,0
BD11,2,0.0,0
BD12,2,0.0,0
BD13,2,0.0,0
BD14,2,1.0,0
BD15,2,0.0,0
BD16,2,0.0,0
BD17,2,0.0,0
BD18,2,0.0,0
BD19,2,0.0,0
BD20,2,0.0,0
BD21,1,0.0,0
BD22,2,0.0,0
BD23,2,0.0,0
BD24,2,0.0,0
BD25,2,0.0,0
BD26,2,0.0,0
BD27,2,0.0,0
BD28,2,0.0,0
BD29,2,0.0,0
BD30,2,0.0,0
BD31,2,0.0,0
BD32,2,0.0,0
BD33,2,0.0,0
BD34,3,0.0,0
BD35,3,0.0,0
BD36,2,0.0,0
BD37,3,0.0,0
BD38,3,0.0,0
BD39,2,0.0,0
BD40,2,0.0,0
BD41,2,0.0,0
BD42,2,0.0,0
BD43,2,0.0,0
BD44,2,0.0,0
BD45,2,2.0,0
BD46,2,0.0,0
BD47,2,0.0,0
BD48,2,0.0,0
BD49,2,0.0,0
BD50,2,0.0,0
BD51,2,0.0,0
BD52,2,0.0,0
BD53,2,0.0,0
BD54,2,0.0,0
BD55,2,2.0,0
BD56,2,0.0,0
BD57,2,0.0,0
BD58,2,0.0,0
BD59,2,0.0,0
BD60,2,0.0,0
BD61,2,0.0,0
BD62,2,0.0,0
BD63,2,0.0,0
BD64,2,0.0,0
BD65,2,2.0,0
BD66,2,0.0,0
BD67,2,0.0,0
BD68,3,0.0,0
BD69,2,0.0,0
BD70,2,0.0,0
BD71,2,0.0,0
BD72,2,0.0,0
BD73,2,0.0,0
BD74,3,0.0,0
BD75,2,0.0,0
BD76,2,0.0,0
BD77,1,0.0,0
BD78,2,0.0,0
BD79,3,0.0,0
BD80,2,0.0,0
BD81,2,0.0,0
BD82,2,0.0,0
BD83,2,0.0,0
BD84,2,0.0,0
BD85,2,0.0,0
BD86,2,0.0,0
BD87,2,1.0,0
BD88,2,0.0,0
BD89,2,0.0,0
BD90,2,0.0,0
BD91,2,0.0,0
BD92,2,0.0,0
BD93,2,0.0,0
BD94,2,0.0,0
BD95,2,0.0,0
BD96,2,0.0,0
BD97,3,0.0,0
BD98,2,1.0,0
BD99,2,0.0,0
BD100,2,0.0,0
BD101,2,0.0,0
BD102,1,2.0,0
BD103,2,0.0,0
BD104,2,0.0,0
BD105,2,2.0,0
BD106,3,0.0,0
BD107,2,0.0,0
BD108,2,0.0,0
BD109,2,0.0,1
BD110,2,0.0,0
BD111,2,0.0,1
BD112,2,0.0,0
BD113,3,0.0,0
BD114,2,0.0,0
BD115,2,0.0,0
BD116,2,0.0,0
BD117,2,0.0,0
BD118,2,1.0,0
BD119,2,2.0,0
BD120,2,0.0,0
BD121,1,0.0,0
BD122,1,0.0,0
BD123,2,0.0,0
BD124,2,0.0,0
BD125,4,0.0,0
BD126,2,0.0,0
BD127,2,0.0,0
BD128,2,0.0,0
BD129,2,0.0,0
BD130,2,0.0,0
BD131,2,0.0,0
BD132,2,0.0,0
BD133,2,0.0,0
BD134,1,0.0,0
BD135,1,0.0,0
BD136,2,0.0,0
BD137,1,0.0,0
BD138,2,0.0,0
BD139,2,0.0,0
BD140,3,0.0,0
BD141,2,0.0,0
BD142,2,0.0,0
BD143,2,1.0,0
BD144,2,0.0,0
BD145,2,0.0,0
BD146,2,0.0,0
BD147,2,0.0,0
BD148,2,2.0,0
BD149,2,0.0,0
BD150,2,2.0,0
BD151,2,0.0,0
BD152,2,0.0,0
BD153,2,0.0,0
BD154,2,2.0,0
BD155,2,0.0,0
BD156,3,0.0,0
BD157,2,0.0,0
BD158,1,0.0,0
BD159,2,0.0,0
BD160,2,2.0,0
BD161,2,0.0,0
BD162,2,0.0,0
BD163,3,0.0,0
BD164,2,2.0,0
BD165,2,0.0,1
BD166,3,0.0,0
BD167,2,0.0,0
BD168,1,0.0,0
